"Year","Age","Female","Male","Total","FemalePost","MalePost","Fem1","Mal1"
1980,"2",0.000499,0.000585,0.000543,121.503083014578,120.693572602586,121.503083014578,120.693572602586
1981,"2",4e-04,0.000465,0.000433,121.344305522158,120.525919852582,121.344305522158,120.525919852582
1982,"2",0.000361,0.000485,0.000425,121.304082989606,120.629953029573,121.304082989606,120.629953029573
1983,"2",0.000372,0.00056,0.000469,121.39646294177,120.835662614005,121.39646294177,120.835662614005
1984,"2",0.000331,0.000435,0.000384,121.342051519097,120.644993553005,121.342051519097,120.644993553005
1985,"2",0.000332,0.000398,0.000366,121.40743216886,120.618021218841,121.40743216886,120.618021218841
1986,"2",0.000315,0.000335,0.000325,121.417233894993,120.507621437022,121.417233894993,120.507621437022
1987,"2",0.000271,0.000351,0.000312,121.329144133271,120.616198820303,121.329144133271,120.616198820303
1988,"2",0.000274,0.000399,0.000338,121.402517475003,120.806295705368,121.402517475003,120.806295705368
1989,"2",0.00029,0.000363,0.000327,121.521634347819,120.773658814383,121.521634347819,120.773658814383
1990,"2",0.000273,0.000286,0.00028,121.523589276246,120.597169482579,121.523589276246,120.597169482579
1991,"2",0.000284,0.000349,0.000317,121.625455775446,120.858171285602,121.625455775446,120.858171285602
1992,"2",0.000337,0.00035,0.000343,121.858928523861,120.922954209523,121.858928523861,120.922954209523
1993,"2",0.000397,0.000448,0.000423,122.085145930419,121.231735979095,122.085145930419,121.231735979095
1994,"2",0.000355,0.000354,0.000355,122.035691495431,121.058161351454,122.035691495431,121.058161351454
1995,"2",0.000332,0.000311,0.000322,122.031072731096,120.99057904214,122.031072731096,120.99057904214
1996,"2",0.000229,0.000267,0.000249,121.722023821957,120.899956480002,121.722023821957,120.899956480002
1997,"2",0.00031,0.000278,0.000294,122.087238172105,121.002250626933,122.087238172105,121.002250626933
1998,"2",0.00022,2e-04,0.00021,121.806657477202,120.73486857143,121.806657477202,120.73486857143
1999,"2",0.000147,0.000186,0.000167,121.465826573852,120.724219570236,121.465826573852,120.724219570236
2000,"2",0.000201,0.000175,0.000188,121.841062951356,120.725180562087,121.841062951356,120.725180562087
2001,"2",0.000211,0.00023,0.000221,121.951980232996,121.060395588727,121.951980232996,121.060395588727
2002,"2",0.000189,0.000227,0.000209,121.904233170804,121.109187988926,121.904233170804,121.109187988926
2003,"2",0.00015,0.00016,0.000155,121.735485506064,120.821333478318,121.735485506064,120.821333478318
2004,"2",0.000185,0.000131,0.000157,122.007570093269,120.683278677926,122.007570093269,120.683278677926
1950,"3",0.002099,0.002341,0.002223,105.656794274086,103.784052534453,105.656794274086,103.784052534453
1951,"3",0.001982,0.002158,0.002072,105.653622640577,103.755878803824,105.653622640577,103.755878803824
1952,"3",0.001834,0.00212,0.00198,105.630198549927,103.791335616715,105.630198549927,103.791335616715
1953,"3",0.001706,0.001857,0.001783,105.612033596584,103.712104401445,105.612033596584,103.712104401445
1954,"3",0.001552,0.00174,0.001648,105.571609540698,103.700249823344,105.571609540698,103.700249823344
1955,"3",0.001432,0.001624,0.00153,105.545320158899,103.684479542901,105.545320158899,103.684479542901
1956,"3",0.001324,0.001503,0.001415,105.521088519298,103.660273002975,105.521088519298,103.660273002975
1957,"3",0.001524,0.001644,0.001585,105.71595249047,103.803164779882,105.71595249047,103.803164779882
1958,"3",0.001348,0.001433,0.001391,105.647419017118,103.719025223137,105.647419017118,103.719025223137
1959,"3",0.001378,0.00141,0.001394,105.723613148642,103.756067369725,105.723613148642,103.756067369725
1960,"3",0.001153,0.001321,0.001239,105.59953018876,103.744089281918,105.59953018876,103.744089281918
1961,"3",0.001058,0.00125,0.001156,105.567726252332,103.742066398735,105.567726252332,103.742066398735
1962,"3",0.00102,0.001177,0.0011,105.585331517615,103.735114266743,105.585331517615,103.735114266743
1963,"3",0.001026,0.001101,0.001065,105.64537960849,103.721586887248,105.64537960849,103.721586887248
1964,"3",0.000921,0.000948,0.000935,105.591599590437,103.625189843824,105.591599590437,103.625189843824
1965,"3",0.000776,0.001028,0.000905,105.474475045787,103.759428378627,105.474475045787,103.759428378627
